k,G_diag_exact,G_diag_vwa,G_exact_kn_0p5kp,G_vwa_kn_0p5kp,G_exact_kn_1p0kp,G_vwa_kn_1p0kp,G_exact_kn_1p5kp,G_vwa_kn_1p5kp
0.99748743718593,0.0278402660520937,0.0278402660520937,0.0213797857291481,0.0212794646550738,0.0278752004906598,0.0278752004058619,0.0348458868851004,0.0348451842341462
1.00904522613065,0.0281617037178819,0.0281617037178819,0.0215431125600592,0.0214401834879679,0.0280359202762337,0.028035919238756,0.0350065131803641,0.0350059030670403
1.02060301507538,0.0284832415718671,0.0284832415718671,0.0217064884833292,0.0216009524149605,0.0281966932532416,0.0281966881657486,0.0351672014102717,0.0351666719940329
1.0321608040201,0.0288048699479374,0.0288048699479374,0.0218699088063007,0.0217617666029956,0.0283575140841369,0.0283575023537837,0.0353279452566521,0.0353274861820681
1.04371859296482,0.0291265800969379,0.0291265800969379,0.0220333692847888,0.0219226216774959,0.0285183779642676,0.028518357428284,0.0354887390432954,0.0354883412565683
1.05527638190955,0.0294483641015696,0.0294483641015696,0.022196866080408,0.0220835136798118,0.0286792805690121,0.0286792494305998,0.0356495776710178,0.0356492332588842
1.06683417085427,0.0297702147989591,0.0297702147989591,0.0223603957219142,0.0222444390285065,0.0288402180061218,0.0288401747792946,0.0358104565592627,0.0358101586075789
1.07839195979899,0.0300921257102335,0.0300921257102335,0.0225239550701893,0.0224053944841437,0.0290011867727589,0.0290011302349318,0.0359713715935827,0.0359711140632161
1.08994974874372,0.0304140909764936,0.0304140909764936,0.0226875412865308,0.0225663771172737,0.0291621837167734,0.0291621128680618,0.0361323190784142,0.0361320966963461
1.10150753768844,0.0307361053006228,0.0307361053006228,0.0228511518039387,0.0227273842793384,0.0293232060018027,0.0293231200301264,0.0362932956946139,0.0362931038584108
1.11306532663317,0.0310581638944215,0.0310581638944215,0.0230147843011213,0.0228884135762377,0.0294842510758204,0.0294841493270258,0.0364542984612791,0.0364541331553101
1.12462311557789,0.0313802624305942,0.0313802624305942,0.0231784366789654,0.023049462844324,0.0296453166427953,0.0296451985951121,0.0366153247014225,0.0366151824233965
1.13618090452261,0.0317023969991594,0.0317023969991594,0.0233421070392406,0.0232105301286067,0.0298064006371567,0.0298062658793947,0.0367763720111135,0.0367762497076791
1.14773869346734,0.0320245640678885,0.0320245640678885,0.0235057936653292,0.0233716136629712,0.029967501200789,0.0299673494137593,0.0369374382317395,0.0369373332420436
1.15929648241206,0.032346760446412,0.032346760446412,0.0236694950047905,0.023532711852233,0.0301286166623076,0.030128447603021,0.0370985214250709,0.0370984314313054
1.17085427135678,0.0326689832536629,0.0326689832536629,0.023833209653588,0.0236938232558584,0.0302897455183926,0.0302895590066465,0.0372596198508501,0.0372595428349308
